ID,Estimated Speedup [%],Function Name,Demangled Name,Runtime Improvement [ns],# Registers [register/thread],Grid Size,Block Size [block],Result Type
30,0.00,reduce_kernel,..reduce_kernel..func_wrapper_t..,n/a,32,"    1,    1,    1","  512,    1,    1",Kernel: SIMT
31,0.00,vectorized_elementwise_kernel,..BUnaryFunctor..binary_internal..,n/a,32,"    1,    1,    1","  128,    1,    1",Kernel: SIMT
32,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,n/a,16,"    4,    1,    1","  128,    1,    1",Kernel: SIMT
33,0.00,_sparse_attn_loss_fused_kernel,_sparse_attn_loss_fused_kernel,n/a,32," 4096,    1,    1","  256,    1,    1",Kernel: SIMT
34,0.00,reduce_kernel,..reduce_kernel..func_wrapper_t..,n/a,32,"    1,    1,    1","  512,    1,    1",Kernel: SIMT
35,0.00,vectorized_elementwise_kernel,..BUnaryFunctor..binary_internal..,n/a,32,"    1,    1,    1","  128,    1,    1",Kernel: SIMT
36,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,n/a,16,"    4,    1,    1","  128,    1,    1",Kernel: SIMT
37,0.00,_sparse_attn_loss_fused_kernel,_sparse_attn_loss_fused_kernel,n/a,32," 4096,    1,    1","  256,    1,    1",Kernel: SIMT
38,0.00,reduce_kernel,..reduce_kernel..func_wrapper_t..,n/a,32,"    1,    1,    1","  512,    1,    1",Kernel: SIMT
39,0.00,vectorized_elementwise_kernel,..BUnaryFunctor..binary_internal..,n/a,32,"    1,    1,    1","  128,    1,    1",Kernel: SIMT
40,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,n/a,16,"    4,    1,    1","  128,    1,    1",Kernel: SIMT
41,0.00,_sparse_attn_loss_fused_kernel,_sparse_attn_loss_fused_kernel,n/a,32," 4096,    1,    1","  256,    1,    1",Kernel: SIMT
42,0.00,reduce_kernel,..reduce_kernel..func_wrapper_t..,n/a,32,"    1,    1,    1","  512,    1,    1",Kernel: SIMT
43,0.00,vectorized_elementwise_kernel,..BUnaryFunctor..binary_internal..,n/a,32,"    1,    1,    1","  128,    1,    1",Kernel: SIMT
